comunidad_0.8,promedio_score,miembros,contaminados_iniciales,promedio_total_pago_f29,nulos_total_pago_f29,promedio_IVA_neto,nulos_IVA_neto,promedio_n_documentos,nulos_n_documentos,promedio_lifetime,nulos_lifetime,moda_unidad_regional,frecuencia_unidad_regional
550,0.0,2,0,2015.0,1,46549.0,0,2.0,1,1170.0,1,12MA UNIDAD REGIONAL MAGALLANES,2
551,0.0,2,0,317349.0,1,23804.5,0,2.0,1,884.0,1,SANTIAGO CENTRO,1
680,0.0,2,0,161996.5,0,159486.0,0,4.0,1,1975.0,1,10MA UNIDAD REGIONAL LOS LAGOS,2
681,0.0,2,0,3495379.0,1,156750.0,0,35.0,1,3936.0,0,SANTIAGO CENTRO,2
682,0.0,2,0,32848.0,1,1130.5,0,7.0,1,1210.0,1,18VA UNIDAD REGIONAL ARICA Y PARINACOTA,1
600,2.7583366918893167e-05,2,0,0.0,1,16795782.5,0,2.0,1,3752.0,1,SANTIAGO ORIENTE,2
685,0.0,2,0,0.0,1,551345.5,0,12.0,1,1206.0,1,19NA UNIDAD REGIONAL DE LOS RIOS,1
686,0.0,2,0,17899.0,1,-1461789.0,0,14.0,1,1580.0,1,4TA UNIDAD REGIONAL COQUIMBO,1
687,0.0,2,0,104932.0,1,51540.5,0,4.0,1,1351.5,0,6TA UNIDAD REGIONAL RANCAGUA,2
566,0.0,2,0,2395.0,1,5588.0,0,1.0,1,418.0,1,19NA UNIDAD REGIONAL DE LOS RIOS,1
642,0.0,2,0,239496.0,1,124060.0,0,1.0,1,11374.0,1,10MA UNIDAD REGIONAL LOS LAGOS,2
678,0.0,2,0,299703.0,1,12686.5,0,5.0,1,2397.0,1,SANTIAGO CENTRO,1
677,0.0,2,0,0.0,1,104804.5,0,2.0,1,,2,18VA UNIDAD REGIONAL ARICA Y PARINACOTA,2
670,0.0,2,0,0.0,1,-4109418.0,0,3.0,0,1291.0,1,SANTIAGO ORIENTE,1
726,0.0,2,0,250800.0,0,49670.5,0,1.0,1,1549.0,0,5TA UNIDAD REGIONAL VALPARAISO,1
727,0.0,2,0,798319.0,1,1044657.5,0,2.0,1,,2,5TA UNIDAD REGIONAL VALPARAISO,1
728,0.0,2,0,313826.0,1,-594055.0,0,50.0,1,3198.0,0,5TA UNIDAD REGIONAL VALPARAISO,2
684,0.0,2,0,0.0,1,0.0,0,1.0,1,3418.0,1,1RA UNIDAD REGIONAL IQUIQUE,1
571,1.0,2,2,0.0,0,-2500121.0,0,4.5,0,456.0,0,Sin Moda,0
565,1.0,2,2,,2,-23476047.5,0,76.0,1,1546.5,0,8VA UNIDAD REGIONAL BIO BIO,2
644,1.0,2,2,0.0,0,-59971472.5,0,6.0,0,2335.0,0,5TA UNIDAD REGIONAL VALPARAISO,1
705,0.0,2,0,515494.0,1,63907.0,0,3.0,1,5327.0,0,SANTIAGO NORTE,2
688,0.0,2,0,169697.5,0,-159675.5,0,18.0,1,1280.0,1,5TA UNIDAD REGIONAL VALPARAISO,2
696,0.0,2,0,3887.0,1,72751.5,0,257.0,1,2695.0,1,SANTIAGO CENTRO,2
716,0.0,2,0,142.5,0,0.0,0,1.0,1,614.0,0,SANTIAGO ORIENTE,1
552,0.0,2,0,0.0,1,114234.5,0,13.0,1,4011.0,0,9NA UNIDAD REGIONAL TEMUCO,2
553,0.0,2,0,0.0,1,371243.5,0,1.0,1,975.0,1,10MA UNIDAD REGIONAL LOS LAGOS,1
556,0.0,2,0,3535893.0,1,-1386018.5,0,16.0,1,,2,SANTIAGO ORIENTE,2
