,comunidad_08,promedio_score,miembros,contaminados_iniciales,promedio_total_pago_f29,nulos_total_pago_f29,promedio_IVA_neto,nulos_IVA_neto,promedio_n_documentos,nulos_n_documentos,promedio_lifetime,nulos_lifetime,moda_unidad_regional,frecuencia_unidad_regional,comunidad,perct_emision_extra,perct_recepcion_extra,emision_extragrupo,recepcion_extragrupo,tasa_emision_extra_intra
447,448,0.009558626351700317,6,0,1167750.6666666667,3,-670993.3333333334,0,217.0,5,,6,6TA UNIDAD REGIONAL RANCAGUA,6,448.0,0.10498938065867894,0.042104855798367945,641691.0,240449.0,0.1173051787206116
448,449,0.022664307477765,6,0,3564968.5,4,-569498.8333333334,0,6.5,4,4792.0,4,SANTIAGO SUR,6,449.0,,0.17535956118355672,,1665230.0,
449,450,0.0231034495414587,6,0,60685979.0,5,-3404982.0,0,18.0,5,2992.0,5,SANTIAGO PONIENTE,6,450.0,,0.047828896829148815,,2792230.0,
450,451,0.024285150746488317,6,0,790679.0,5,-11148.166666666666,0,36.0,5,,6,SANTIAGO SUR,6,451.0,,0.35605676795055285,,224894.0,
451,452,0.260710079958259,6,0,62387.0,5,778429.0,0,23.0,5,3236.0,5,SANTIAGO PONIENTE,6,452.0,,0.5262399511083649,,2021796.0,
452,453,1.0,6,6,158358.0,1,-4805970.833333333,0,11.0,0,522.6666666666666,0,SANTIAGO CENTRO,6,453.0,0.32154331548042114,,26626828.0,,0.4739334475097829
453,454,1.0000486964045527,5,5,0.0,0,-42084752.8,0,29.0,0,670.0,0,SANTIAGO ORIENTE,5,454.0,0.5368061078164369,,208525664.0,,1.1589231137868745
454,455,1.770707640261177e-05,5,0,5699587.0,4,19282.6,0,4.0,4,470.0,4,SANTIAGO PONIENTE,5,455.0,,0.0004664489904711135,,133.0,
455,456,0.16030496679591302,5,0,0.0,4,-54401.4,0,14.0,4,2346.0,4,5TA UNIDAD REGIONAL VALPARAISO,5,456.0,0.49740555209287174,0.6869341121622248,193924.0,429950.0,0.9896757796751162
456,457,0.021857769516222918,5,0,188284.0,4,431070.8,0,54.0,4,1354.0,4,SANTIAGO PONIENTE,5,457.0,0.635490907806304,0.8956957073323595,143912.0,708850.0,1.743415792406658
457,458,0.03017492598971802,5,0,0.0,3,628545.8,0,9.0,4,,5,19NA UNIDAD REGIONAL DE LOS RIOS,5,458.0,0.1773049645390071,0.5883561186501853,190000.0,1260057.0,0.21551724137931033
458,459,0.01811646433614776,5,0,181290.5,3,2500081.0,0,28.0,4,937.0,4,SANTIAGO ORIENTE,5,459.0,0.8795901281880363,0.8116623032138751,1557061.0,918598.0,7.304966901398539
459,460,0.024059247640982478,5,0,6553221.5,3,136280.4,0,15.0,4,6638.0,4,SANTIAGO PONIENTE,5,460.0,,0.021865487578523028,,221257.0,
460,461,0.01599927346287356,5,0,0.0,4,236513.8,0,7.0,4,,5,7MA UNIDAD REGIONAL MAULE,5,461.0,,0.8526022937024454,,669309.0,
