RUT_SOCIEDAD,CAPITAL,UTILIDADES
9HRvaF58EbfM1PbyQ8oy2w==,90.0,90.0
fvzj9ocaG3+N9rn992J6ug==,90.0,90.0
3SvLnAsOsCINxrir35ND4w==,91.0,91.0
Gvyv2bMtTPWH4UrWHUL0+g==,90.0,90.0
jiXmWmO6vYP7WleJkpsgEw==,90.0,90.0
x+BRoELczFOKbHA+LSCyjw==,109.9,109.9
hhi+USp1dqGXRKAz7ggJ3Q==,90.0,90.0
Tj66rrKAdXp1nWP0EmlSCg==,90.0,90.0
VSD/sgUZX5szxCSGxmU72w==,90.0,90.0
rZ2RTW3k1TZ76tmSmdaocg==,90.91,90.91
o37mYeziI9f/HHeQlfkAbw==,90.0,90.0
zXdUf0Sbz95VtbgHz7yIOA==,92.0,100.0
GfXo/MHEL8qjs09ixfjK1Q==,90.0,90.0
4pd5NHvTVdnWIJE6VCEw1g==,90.0,90.0
I7QQElzfJd1QJRJMNG48iQ==,90.0,90.0
M9y6kJrUGpDQvzCY6SBsGA==,93.75,93.75
DKLDBj3a7vn85xVttROYNg==,107.34,100.0
MAqfv+iFwLVUZafkySyFhA==,92.0,92.0
IiRPbXm6/sq39kEKUk9s7g==,91.0,91.0
h26+fgLNwvAQVF4W2czMGg==,90.0,90.0
y0j92EpOPqYL8TVWQNTSwQ==,90.0,90.0
Da+Zg9Y2SzrUb27auMQ/zw==,109.0,109.0
/idDqonX+ImQIQhmcJm56Q==,93.24999999999997,93.24999999999997
7QO19dSEjJub5bbd5XMmJg==,90.0,90.0
lCjmB3ZXfahwr1sIhSUzXA==,110.0,110.0
3/FufB1m2Ed0PG5XP5R4GA==,91.17999999999999,91.17999999999999
yWNhtdQ3pa/qxjhFVFB1bQ==,108.1,108.1
vDBznI3MaHOZqyfZfKTU7w==,90.0,90.0
jg5OzQor97batSBbXVsntQ==,90.0,90.0
VxFkmmkBTcsTnveW3JDIfw==,90.0,90.0
tidyqmDogU6OFhTgpNR9rw==,90.0,90.0
WmalbVI4qOHT8hIkxOvVCQ==,90.0,90.0
LBp17BaiGnoeXdr6T6lo5g==,90.0,90.0
Wq58ypdMCX2iGLc+j3XoAg==,93.82000000000204,93.82000000000204
kX7wwed8ZD3GEUugFOK+qg==,90.44999999999999,90.50999999999999
1DgdZijG+/45ykivlE8ZIQ==,90.0,90.0
Ab9idxy1YOW1203fCBEp1Q==,93.0,93.0
C00kPMRczVDQS10wjpr72A==,91.0,91.0
AP3md4g7czAxHj7cHBnriw==,110.0,100.0
B1YAWpt/rFX2DWamiGn59w==,90.0,90.0
Fvf1fSiLunqPxnIoNrLnlg==,93.33,93.33
may536vVMpnYPIBEgJJSYA==,90.0,90.0
fvHUgwUaRIJcCo7I/QwArw==,109.0,109.0
qubOQMuZRa2UKFJjYu1hbg==,94.34000000000002,100.0
j3+smVnKgfjWhxyB7mV4xg==,90.0,90.0
HKcUH/FVqvGR10xMlhEp0A==,90.0,90.0
E4dW7/pFzvWkZ1wVWdwnQg==,90.0,90.0
ZkNzkn6fzmN5qRNwSf1rUw==,91.69,56.66
Kka4121Og/O5Yf24X86CSA==,92.5,92.5
Jz6ML9QPKTd9XY0nZ2tEhg==,110.0,110.0
mD6BxhDdWHasxEeQctOnUQ==,109.0,109.0
4L5r8dvtmR/z4kTriqeGaQ==,90.0,90.0
D1uV7/yH+B6E1hrRkZcCyg==,91.74000000000002,91.74000000000002
4iDed/kuvKNCtx3xvUAbUQ==,94.28,70.0
qOtknZaiiFZlVMKGInYrEw==,90.0,90.0
9BVYIyIcxcLOypiyoyRmIw==,90.0,90.0
kPWLo4d/saKbQ4dpFLezEw==,93.36,93.37
OqfH7aOddjsEKjNBEYPQSw==,93.0,93.0
x7uVnLzGwehQFWb2brsIlQ==,90.0,90.0
e8PZJwAejEhwk3w4Yaw9TQ==,110.0,110.0
OiYGX6XpmoOVfvNOdl2BUg==,90.99999999999999,90.99999999999999
YcDjquawseMyqz5dWylKyg==,109.0,109.0
p+DtUZALWrptOw7Bsi5cww==,91.0,91.0
2ds5mTxL8a+6k9Cbz/Gr0w==,90.0,90.0
rD++8LiSg8un55qXqlt1Ng==,90.0,90.0
Gs6njjLWAgW726dEs0YNpg==,93.0,93.0
Lhu7G0RimeW3IbLAwZ1O7Q==,90.0,90.0
K4oVsnwao3apZgNpLdXQdg==,90.0,90.0
FIsoNojseWxMYyaI8qvI+w==,90.0,90.0
3HQcB4xdnQ3yJLHDXBqoog==,90.0,90.0
u82pDTR0SslxAp/ZT3KkAw==,110.0,110.0
O60nuwdMQoVGIgM64EH1Gw==,90.22999999999999,90.25
dzNOaQQ1bZXAukXq1ipfVg==,92.27999999999999,92.27999999999999
uaA1Y81MzIIrStyGplOUIQ==,90.91,90.91
BDBmVqF+a4XW0XBWRDpqYw==,90.0,90.0
MBJTyLmHD9Uy8Zr/+DIXDA==,109.0,109.0
4+UzWcxwl3hL0t+OCyG8Zw==,110.0,110.0
qjnjpMzm2QMYm/tDyKotPQ==,90.0,90.0
/1krBRJBmdBgxZcuMag+bA==,94.0,94.0
KotB0hIZpaJQv4m9nb8Xzg==,93.23999999999997,93.23999999999997
JQQIPiYC+BPV/+2RcvLoPw==,92.5,92.5
cZDl+7O1w3LdSOizVy+GFQ==,110.0,110.0
WCFf6UPar5L2wmHpDuQchg==,90.0,90.0
HRbd+OiNdhdlusFyHgEa+w==,90.0,90.0
Onn5pi4HW1sLOWL3dbvgPw==,94.0,94.0
